1	13.087
2	10.283
3	10.636
4	9.629
5	10.485
6	10.395
7	10.53
8	10.45
9	10.197
10	10.73
11	10.607
12	10.398
13	11.097
14	10.733
15	10.074
16	10.098
17	9.454
18	10.294
19	10.343
20	10.405
21	4.783
1	14.16
1	13.171
2	10.067
3	10.215
4	9.458
5	10.62
6	10.53
7	10.091
8	10.681
9	10.298
10	10.896
11	10.59
12	10.561
13	10.364
14	9.826
15	9.394
16	9.829
17	10.436
18	11.648
19	11.207
20	10.421
21	4.819
1	13.272
1	0.691
2	0.197
3	0.071
4	0.1
5	0.067
6	0.08
7	0.084
